date,currency_code,name,local_price,dollar_ex,dollar_price
2007-06-01,LKR,Sri Lanka,210.0,111.4,18.850.987.432.675.000
2007-06-01,MXN,Mexico,29.0,1.076.755,26.932.774.865.219.900
2007-06-01,MYR,Malaysia,5.5,3.4345,16.013.975.833.454.600
2007-06-01,NOK,Norway,40.0,5.8139,688.006.329.658.233
2007-06-01,NZD,New Zealand,4.6,1.2797,359.459.248.261.311
2007-06-01,PKR,Pakistan,140.0,60.37,231.903.263.210.204
2007-06-01,PEN,Peru,9.5,3.167,299.968.424.376.381
2007-06-01,PHP,Philippines,85.0,458.975,185.195.272.073.642
2007-06-01,PLN,Poland,6.9,275.185,250.740.410.996.239
2007-06-01,RUB,Russia,52.0,2.564.825,20.274.287.719.435.000
2007-06-01,SAR,Saudi Arabia,9.0,375.045,23.997.120.345.558.500
2007-06-01,SGD,Singapore,3.95,152.375,25.922.887.612.797.400
2007-06-01,SEK,Sweden,33.0,679.165,48.589.076.292.211.700
2007-06-01,THB,Thailand,62.0,34.455,17.994.485.560.876.400
2007-06-01,TRY,Turkey,4.75,1.2981,36.591.942.069.177.900
2007-06-01,TWD,Taiwan,75.0,327.705,22.886.437.497.139.200
2007-06-01,UAH,Ukraine,9.25,5.0275,18.398.806.563.898.600
2007-06-01,UYU,Uruguay,62.0,23.945,25.892.670.703.696
2007-06-01,USD,United States,3.41,1.0,3.41
2007-06-01,ZAR,South Africa,15.5,6.971,222.349.734.614.833
2008-06-01,AED,UAE,10.0,367.285,27.226.812.965.408.300
2008-06-01,ARS,Argentina,11.0,3.0195,364.298.724.954.463
2008-06-01,AUD,Australia,3.45,1.026,336.257.309.941.521
2008-06-01,BRL,Brazil,7.5,1.5846,473.305.566.073.457
2008-06-01,CAD,Canada,04.09,100.355,407.553.186.189.029
2008-06-01,CHF,Switzerland,6.5,102.215,635.914.493.958.812
2008-06-01,CLP,Chile,1550.0,494.65,313.352.875.770.747
2008-06-01,CNY,China,12.5,6.834,18.290.898.448.931.700
2008-06-01,COP,Colombia,7000.0,1798.65,389.180.774.469.741
2008-06-01,CRC,Costa Rica,1800.0,551.02,32.666.690.864.215.400
2008-06-01,CZK,Czech Republic,66.08,1.449.795,455.788.577.005.715
2008-06-01,DKK,Denmark,28.0,4.7044,5.951.874.840.574.780
2008-06-01,EGP,Egypt,13.0,5.3125,244.705.882.352.941
2008-06-01,EUR,Euro area,336.856,630.497.147,5.342.704.588.003.460
2008-06-01,GBP,Britain,2.29,5.010.396.570.000.000,45.704.965.026.351.200
2008-06-01,HKD,Hong Kong,13.3,7.7974,17.056.967.707.184.300
2008-06-01,HUF,Hungary,670.0,1.442.578,464.446.289.905.988
2008-06-01,IDR,Indonesia,18700.0,9152.0,204.326.923.076.923
2008-06-01,JPY,Japan,280.0,106.855,262.037.340.320.996
2008-06-01,KRW,South Korea,3200.0,1018.05,31.432.640.832.964.900
2008-06-01,LKR,Sri Lanka,210.0,107.55,19.525.801.952.580.200
2008-06-01,MXN,Mexico,32.0,10.1685,31.469.734.965.825.800
2008-06-01,MYR,Malaysia,5.5,3.238,16.985.793.699.814.700
2008-06-01,NOK,Norway,40.0,507.915,787.533.347.115.167
2008-06-01,NZD,New Zealand,4.9,1.3177,37.186.005.919.405
2008-06-01,PKR,Pakistan,140.0,70.9,197.461.212.976.023
2008-06-01,PEN,Peru,9.5,2.84,334.507.042.253.521
2008-06-01,PHP,Philippines,87.0,44.485,195.571.540.968.866
2008-06-01,PLN,Poland,7.0,203.145,344.581.456.595.043
2008-06-01,RUB,Russia,59.0,232.336,25.394.256.593.898.500
2008-06-01,SAR,Saudi Arabia,10.0,374.955,26.669.867.050.712.700
2008-06-01,SGD,Singapore,3.95,135.275,29.199.778.229.532.400
2008-06-01,SEK,Sweden,38.0,596.085,6.374.929.749.951.760
2008-06-01,THB,Thailand,62.0,33.36,18.585.131.894.484.400
2008-06-01,TRY,Turkey,5.15,119.275,431.775.309.159.505
2008-06-01,TWD,Taiwan,75.0,303.625,24.701.523.260.601.000
2008-06-01,UAH,Ukraine,11.0,4.6,239.130.434.782.609
2008-06-01,UYU,Uruguay,61.0,19.15,31.853.785.900.783.300
2008-06-01,USD,United States,3.57,1.0,3.57
2008-06-01,ZAR,South Africa,16.95,756.325,224.110.005.619.277
2009-07-01,AED,UAE,10.0,3.673,27.225.701.061.802.200
2009-07-01,ARS,Argentina,11.5,381.125,30.173.827.484.421.000
2009-07-01,AUD,Australia,4.34,1.2869,337.244.541.145.388
2009-07-01,BRL,Brazil,08.03,1.9971,40.208.302.037.955
2009-07-01,CAD,Canada,3.89,116.085,33.509.928.069.948.700
2009-07-01,CHF,Switzerland,6.5,108.605,598.499.148.289.674
2009-07-01,CLP,Chile,1750.0,548.55,31.902.287.849.785.700
