Wine_No;Wine;BRANCO_91;TINTO_91;BRANCO_92;TINTO_92;BRANCO_93;TINTO_93;BRANCO_94;TINTO_94;BRANCO_95;TINTO_95;BRANCO_96;TINTO_96;BRANCO_97;TINTO_97;BRANCO_98;TINTO_98
32; POVOA DE VARZIM           ;419510;570130;330285;381345;229230;210900;299350;287190;290290;213940;379550;234900;169800;109265;124120;66200
33; RESENDE                   ;605635;1817210;379485;1064953;508751;719558;726975;870642;701339;937080;881965;1126539;418445;509260;258276;434587
34; RIBEIRA DE PENA           ;63650;1087340;44320;567050;65331;663360;108760;1200060;77200;680950;148910;1176070;79000;389480;109750;515660
35; SANTO TIRSO               ;2258510;2582415;1696200;1596872;1251814;855178;1644920;1323345;1890190;1197665;2380128;1390678;863243;619801;821206;412339
36; TERRAS DE BOURO           ;16500;892380;8555;428190;2650;38760;6930;107170;7155;117250;11400;219800;1400;37500;1500;16550
37; VALE DE CAMBRA            ;2549190;3310310;1771540;1534660;780905;885603;1308495;1925660;2143415;1706920;1971870;1909460;617651;477200;273250;186180
38; VALENCA                   ;165890;855960;129410;476240;56180;149982;128360;403565;105000;267595;129020;403190;43095;116700;41060;92625
39; VALONGO                   ;898865;281980;642835;171405;579889;77005;834125;112905;755530;94610;1071350;148875;535960;60900;801650;40900
40; VIANA DO CASTELO          ;850474;3830794;491150;2083895;322490;1064536;492070;1778270;467805;1173905;779263;1690613;191550;595055;126465;216730
41; VIEIRA DO MINHO           ;12200;148350;6230;49800;5950;18550;18320;45100;1000;19300;20500;74450;950;2030;3450;3000
42; VILA DO CONDE             ;461635;810110;301545;467620;172807;183249;203770;250270;221152;210645;235775;248525;114115;106305;45635;51563
43; VILA NOVA DE CERVEIRA     ;89745;504255;50200;284535;16614;76051;30448;106610;23875;76970;28720;82405;5020;16900;2590;9600
44; VILA NOVA DE FAMALICAO    ;3245265;4005815;2517975;2319570;2072898;1338140;3013077;1853360;3536931;1747755;4627977;1955100;1361144;725646;1662074;623900
45; VILA VERDE                ;670710;2655850;532415;1376028;487069;510222;602640;1148775;410394;801412;1283656;1594043;265260;371097;408815;301214
;;;;;;;;;;;;;;;;;
;;;;;;;;;;74.122.165;47.577.798;100.781.047;69.763.494;29.542.671;19.876.398;38.649.241;20.484.991
